Source,worth BUSD, worthChange millions USD
Technology  ==> electronics,3,0
Diversified  ==> diversified,3,0
Construction & Engineering  ==> construction,3,0
"Food and Beverage  ==> agriculture, water",3,0
Real Estate  ==> real estate,3,0
Food and Beverage  ==> agriculture,3,0
Finance and Investments  ==> banking,3,0
Service  ==> aircraft leasing,3,0
Healthcare  ==> dental implants,3,0
Technology  ==> Airbnb,3,0
Media & Entertainment  ==> publishing,3,0
Finance and Investments  ==> insurance,3,0
Technology  ==> Airbnb,3,0
Diversified  ==> investments,3,-71
Technology  ==> Airbnb,3,0
Construction & Engineering  ==> homebuilding,3,0
"Real Estate  ==> real estate, investments",3,0
Manufacturing  ==> chemicals,3,0
Finance and Investments  ==> diversified,3,0
Real Estate  ==> real estate,3,0
"Sports  ==> energy, sports",3,0
Fashion & Retail  ==> shoes,3,0
Real Estate  ==> real estate,3,0
Finance and Investments  ==> investments,3,0
Technology  ==> semiconductors,3,0
Technology  ==> smartphone components,3,0
Diversified  ==> diversified,3,-8
Food and Beverage  ==> beverages,3,0
Media & Entertainment  ==> online media,3,0
Finance and Investments  ==> money management,3,0
Finance and Investments  ==> banking,3,0
Finance and Investments  ==> hedge funds,3,0
Manufacturing  ==> cleaning products,3,0
Manufacturing  ==> cleaning products,3,0
Manufacturing  ==> cleaning products,3,0
Manufacturing  ==> cleaning products,3,0
Manufacturing  ==> cleaning products,3,0
"Manufacturing  ==> fertilizer, real estate",3,0
Construction & Engineering  ==> real estate,3,0
Finance and Investments  ==> finance,3,0
Gambling & Casinos  ==> casinos,3,0
Manufacturing  ==> hair dryers,3,0
Real Estate  ==> real estate,3,0
Finance and Investments  ==> investments,3,0
Finance and Investments  ==> tech investments,3,0
Healthcare  ==> pharmaceuticals,3,0
Healthcare  ==> pharmaceuticals,3,0
Healthcare  ==> pharmaceuticals,3,0
Real Estate  ==> real estate,3,-8
Diversified  ==> diversified,3,0
Fashion & Retail  ==> sports retailing,3,0
Healthcare  ==> pharmaceuticals,3,0
Energy  ==> oil,3,0
Healthcare  ==> vaccine production,3,0
Finance and Investments  ==> money management,3,0
Finance and Investments  ==> money management,3,0
Finance and Investments  ==> investments,3,0
Healthcare  ==> pharmaceuticals,3,0
Manufacturing  ==> manufacturing,3,0
Healthcare  ==> biotech,3,0
"Diversified  ==> drilling, shipping",3,6
Diversified  ==> consumer goods,3,0
Food and Beverage  ==> pig breeding,3,0
Fashion & Retail  ==> fashion retail,3,0
Energy  ==> energy,3,0
Finance and Investments  ==> discount brokerage,3,0
Media & Entertainment  ==> Movies,3,0
Automotive  ==> auto parts,3,0
Logistics  ==> cruise ships,3,0
Healthcare  ==> pharmaceuticals,3,0
Real Estate  ==> real estate,3,0
Real Estate  ==> real estate,3,0
Manufacturing  ==> chemicals,3,0
"Fashion & Retail  ==> fashion retail, investments",3,0
"Fashion & Retail  ==> fashion retail, investments",3,0
"Fashion & Retail  ==> fashion retail, investments",3,0
"Fashion & Retail  ==> fashion retail, investments",3,0
Healthcare  ==> hospitals,3,0
Manufacturing  ==> paints,3,0
Fashion & Retail  ==> retail,3,0
Sports  ==> Formula One,3,0
Technology  ==> health IT,3,0
"Real Estate  ==> real estate, finance",3,0
Finance and Investments  ==> private equity,3,0
Energy  ==> oil,3,0
Construction & Engineering  ==> engineering,3,0
Service  ==> airport,3,0
Finance and Investments  ==> venture capital,3,0
Real Estate  ==> real estate,3,0
Media & Entertainment  ==> movie making,3,0
"Diversified  ==> retail, real estate",3,0
"Service  ==> hotels, investments",3,0
"Finance and Investments  ==> hotels, investments",3,0
"Manufacturing  ==> manufacturing, investments",3,0
"Logistics  ==> shipping, seafood",3,0
"Finance and Investments  ==> banking, real estate",3,0
Real Estate  ==> real estate,3,0
Diversified  ==> diversified,3,0
Diversified  ==> diversified,3,0
Food and Beverage  ==> meat processing,3,0
Energy  ==> energy,3,0
Metals & Mining  ==> metals,3,0
"Construction & Engineering  ==> engineering, construction",3,0
"Construction & Engineering  ==> engineering, construction",3,0
Technology  ==> software,3,0
Construction & Engineering  ==> construction,3,0
Manufacturing  ==> chemicals,3,0
Technology  ==> software,3,0
"Logistics  ==> logistics, real estate",3,0
"Fashion & Retail  ==> gas stations, retail",3,0
Fashion & Retail  ==> retail,3,0
Technology  ==> navigation equipment,3,0
Technology  ==> internet search,3,0
Healthcare  ==> medical devices,3,0
"Logistics  ==> real estate, airport",3,0
Finance and Investments  ==> finance,3,0
Diversified  ==> diversified,3,0
Gambling & Casinos  ==> gambling software,3,3
Telecom  ==> telecom,3,0
"Logistics  ==> real estate, airport",3,0
Diversified  ==> diversified,3,0
Real Estate  ==> real estate,3,0
Construction & Engineering  ==> construction,3,0
"Gambling & Casinos  ==> casinos, hotels",3,0
"Metals & Mining  ==> mining, metals",3,0
"Automotive  ==> auto dealers, investments",3,0
Finance and Investments  ==> hedge funds,3,0
"Energy  ==> oil, investments",3,0
Fashion & Retail  ==> retail,3,0
Healthcare  ==> medical equipment,3,0
"Finance and Investments  ==> insurance, beverages",3,0
"Gambling & Casinos  ==> casinos, property, energy",3,0
Real Estate  ==> real estate,3,0
Manufacturing  ==> paints,3,0
Service  ==> airline,3,0
Technology  ==> LinkedIn,3,0
Media & Entertainment  ==> cable television,3,0
Real Estate  ==> real estate,3,0
"Real Estate  ==> hotels, motels",3,0
Finance and Investments  ==> investments,3,0
Real Estate  ==> real estate,3,0
Finance and Investments  ==> investments,3,0
Manufacturing  ==> aluminum products,3,0
Manufacturing  ==> chemicals,3,0
Food and Beverage  ==> Campbell Soup,3,0
Technology  ==> semiconductors,3,0
Real Estate  ==> real estate,3,0
Healthcare  ==> medical equipment,3,0
Finance and Investments  ==> real estate,3,0
Food and Beverage  ==> flavorings,3,0
Media & Entertainment  ==> media,3,0
