id,Source,worth BUSD, worthChange millions USD
6127,Finance and Investments  ==> investments,4,0
6930,Finance and Investments  ==> investments,4,0
8164,Finance and Investments  ==> investments,4,0
3394,Manufacturing  ==> auto parts,4,0
8471,Healthcare  ==> hospitals,4,0
2254,Media & Entertainment  ==> record label,4,0
7993,Finance and Investments  ==> hedge funds,4,0
8398,Real Estate  ==> real estate,4,0
3132,Manufacturing  ==> petrochemicals,4,0
1897,Gambling & Casinos  ==> casinos,4,0
7535,Healthcare  ==> medical devices,4,0
5919,"Real Estate  ==> real estate, investments",4,0
5506,Food and Beverage  ==> Cargill,4,0
4713,Food and Beverage  ==> food distribution,4,0
2470,Food and Beverage  ==> food distribution,4,0
8865,Real Estate  ==> real estate,4,0
5017,Real Estate  ==> real estate,4,0
1520,Diversified  ==> diversified,4,0
7777,"Real Estate  ==> real estate, retail",4,0
7673,Food and Beverage  ==> agriculture,4,0
2876,Diversified  ==> biotech,4,0
1286,Real Estate  ==> real estate,4,0
1692,Finance and Investments  ==> investments,4,0
7414,Service  ==> concessions,4,0
7700,Finance and Investments  ==> cryptocurrency,4,0
8338,Manufacturing  ==> paper,4,0
7137,Manufacturing  ==> construction equipment,4,0
8657,Telecom  ==> telecom,4,0
8689,Service  ==> airlines,4,0
6441,Food and Beverage  ==> spirits,4,0
3791,"Telecom  ==> IT, telecom",4,0
4373,Manufacturing  ==> steel,4,0
9083,Manufacturing  ==> fertilizers,4,0
3861,Service  ==> education,4,0
1123,Real Estate  ==> real estate,4,0
3604,Finance and Investments  ==> hedge funds,4,0
1661,Fashion & Retail  ==> retail,4,0
3200,Finance and Investments  ==> banking,4,0
9515,Fashion & Retail  ==> supermarkets,4,0
4221,Technology  ==> software,4,0
5172,Real Estate  ==> real estate,4,0
8354,Healthcare  ==> pharmaceuticals,4,0
1631,Construction & Engineering  ==> construction equipment,4,0
6016,Real Estate  ==> real estate,4,0
5832,Finance and Investments  ==> banking,4,0
1304,Service  ==> hotels,4,0
5914,Metals & Mining  ==> mining,4,0
