Source,worth BUSD, worthChange millions USD,age,gender,country,image,name,position
metals & mining  ==> coal mines,1,0,54,male,none,https://specials-images.forbesimg.com/imageserve/5a7dd4e9a7ea431690131787/416x416.jpg?background=000000&cropx1=1134&cropx2=2843&cropy1=0&cropy2=1710,pavel tykac,1846
technology  ==> technology,1,0,57,none,none,https://specials-images.forbesimg.com/imageserve/5554cad4e4b0bacdbd75184a/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=119&cropy2=863,jayshree ullal,1847
food and beverage  ==> food,1,0,77,none,none,https://specials-images.forbesimg.com/imageserve/5554cad4e4b0bacdbd75184a/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=119&cropy2=863,wan long,1848
automotive  ==> auto distribution,1,0,67,male,none,https://specials-images.forbesimg.com/imageserve/5554cad4e4b0bacdbd75184a/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=119&cropy2=863,wang muqing,1849
food and beverage  ==> food sweeteners,1,0,68,male,none,https://specials-images.forbesimg.com/imageserve/5554cad4e4b0bacdbd75184a/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=119&cropy2=863,wang yong,1850
metals & mining  ==> trust fund,1,0,33,female,australia,https://specials-images.forbesimg.com/imageserve/5554cad4e4b0bacdbd75184a/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=119&cropy2=863,hope welker,1851
service  ==> wastewater treatment,1,0,52,male,none,https://specials-images.forbesimg.com/imageserve/5a7d08c7a7ea431690130db0/416x416.jpg?background=000000&cropx1=823&cropx2=3492&cropy1=0&cropy2=2667,wen yibo,1852
real estate  ==> real estate services,1,0,71,male,none,https://specials-images.forbesimg.com/imageserve/5a90b07531358e79a28a2165/416x416.jpg?background=000000&cropx1=4&cropx2=2083&cropy1=210&cropy2=2290,stephen t. winn,1853
real estate  ==> real estate,1,0,83,male,hong kong,https://specials-images.forbesimg.com/imageserve/a5562f28b8b0bcbd132002c1a08dce80/416x416.jpg?background=000000&cropx1=118&cropx2=649&cropy1=37&cropy2=569,gordon wu,1854
manufacturing  ==> packaging,1,0,44,female,china,https://specials-images.forbesimg.com/imageserve/a5562f28b8b0bcbd132002c1a08dce80/416x416.jpg?background=000000&cropx1=118&cropx2=649&cropy1=37&cropy2=569,wu lanlan,1855
technology  ==> software,1,0,59,male,none,https://specials-images.forbesimg.com/imageserve/a5562f28b8b0bcbd132002c1a08dce80/416x416.jpg?background=000000&cropx1=118&cropx2=649&cropy1=37&cropy2=569,xu ziquan,1856
service  ==> education,1,0,-2019,female,china,https://specials-images.forbesimg.com/imageserve/a5562f28b8b0bcbd132002c1a08dce80/416x416.jpg?background=000000&cropx1=118&cropx2=649&cropy1=37&cropy2=569,yang meirong,1857
food and beverage  ==> brewery,1,0,58,male,china,https://specials-images.forbesimg.com/imageserve/5a8dfb21a7ea43169014106c/416x416.jpg?background=000000&cropx1=5&cropx2=2336&cropy1=250&cropy2=2583,yang tingdong,1858
"manufacturing  ==> chemicals, spandex",1,0,60,none,none,https://specials-images.forbesimg.com/imageserve/5a8dfb21a7ea43169014106c/416x416.jpg?background=000000&cropx1=5&cropx2=2336&cropy1=250&cropy2=2583,you xiaoping,1859
real estate  ==> real estate,1,0,58,male,hong kong,https://specials-images.forbesimg.com/imageserve/1bd57d61bff2fbf42cc46b5d3d2a4bd6/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=3&cropy2=747,yu peidi,1860
manufacturing  ==> glass,1,0,52,none,none,https://specials-images.forbesimg.com/imageserve/1bd57d61bff2fbf42cc46b5d3d2a4bd6/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=3&cropy2=747,yu qibing,1861
fashion & retail  ==> costume jewelry,1,0,56,male,none,https://specials-images.forbesimg.com/imageserve/1bd57d61bff2fbf42cc46b5d3d2a4bd6/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=3&cropy2=747,yu yunxin,1862
diversified  ==> diversified,1,0,55,male,none,https://specials-images.forbesimg.com/imageserve/5a7d1d8c4bbe6f2652f51243/416x416.jpg?background=000000&cropx1=216&cropx2=1272&cropy1=11&cropy2=1067,zan shengda,1863
