id,name,position
7624,peter kellogg,635
8881,lim sung-ki,636
6367,friedhelm loh,637
5620,kiran mazumdar-shaw,638
3755,idan ofer,639
3292,karsanbhai patel,640
6977,qin yinglin,641
2280,qiu guanghe,642
2439,sarath ratanavadi,643
4687,rodger riney,644
7416,steven spielberg,645
9707,gabriele volkmann,646
9911,arne wilhelmsen,647
5703,xu jingren,648
7718,zhang li,649
4260,zhang xin,650
5699,anita zucker,651
6614,carlo benetton,652
7570,gilberto benetton,653
6269,giuliana benetton,654
7928,luciano benetton,655
7041,chen bang,656
6174,kuldip singh & gurbachan singh dhingra,657
6936,abilio dos santos diniz,658
9931,bernard ecclestone,659
8337,judy faulkner,660
2579,gao tianguo,661
4562,joshua harris,662
9078,arthur irving,663
4571,baba kalyani,664
5571,dmitry kamenshchik,665
7991,douglas leone,666
5612,edwin leong,667
6853,arnon milchan,668
3794,maren otto,669
7134,anthony pritzker,670
9229,jay robert (j.b.) pritzker,671
8329,mitchell rales,672
8051,kjell inge rokke,673
3108,"bernard saul, ii.",674
2944,donald sterling,675
8903,tahir,676
2588,chairul tanjung,677
7970,clemens toennies,678
1887,somphote ahunai,679
7401,igor altushkin,680
8677,riley bechtel,681
3452,"stephen bechtel, jr.",682
1575,mike cannon-brookes,683
2512,rafael del pino y calvo-sotelo,684
9068,antonio del valle ruiz,685
2397,scott farquhar,686
8682,lindsay fox,687
5758,jimmy haslam,688
4219,heidi horten,689
2372,min kao,690
8688,melissa ma,691
3162,rudolf maag,692
8456,alexander ponomarenko,693
8906,carlos rodriguez-pastor,694
2861,shashi & ravi ruia,695
8514,teddy sagi,696
6313,shaul shani,697
3754,alexander skorobogatko,698
9135,sun guangxin,699
9964,rita tong liu,700
9265,juan-miguel villar mir,701
4779,steve wynn,702
3773,anil agarwal,703
9571,abdulla al futtaim,704
7863,john arnold,705
6582,sid bass,706
7619,alain bouchard,707
3471,john brown,708
9868,vanich chaiyawan,709
7946,chen lip keong,710
1726,charles cohen,711
3016,ashwin dani,712
7831,rakesh gangwal,713
7760,reid hoffman,714
5037,"amos hostetter, jr.",715
2857,zarakh iliev,716
4644,ji qi,717
5316,kenneth langone,718
7891,li sze lim,719
7968,george lindemann,720
7902,liu zhongtian,721
7860,luo liguo,722
5565,mary alice dorrance malone,723
8458,"henry nicholas, iii.",724
1745,god nisanov,725
2925,pat stryker,726
5296,alexander svetakov,727
2762,hans peter wild,728
4854,yvonne bauer,729
1982,patrizio bertelli,730
7958,neil bluhm,731
8010,andrew & peggy cherng,732
4887,scott cook,733
1137,leon g. cooperman,734
3468,john paul dejoria,735
7596,martin ebner,736
7989,walter faria,737
3279,sameer gehlaut,738
3753,tom golisano,739
3608,otto happel,740
7961,jiang bin,741
7892,karel komarek,742
6880,kurt krieger,743
8830,timur kulibaev,744
4127,dinara kulibaeva,745
1412,spiro latsis,746
4774,daniel loeb,747
3913,luo jye,748
3742,ronald mcaulay,749
4148,alain merieux,750
7007,hans georg naeder,751
1811,nie tengyun,752
1430,daniel och,753
5040,miuccia prada,754
9235,marc rowan,755
2493,haim saban,756
9516,alvaro saieh bendeck,757
1297,michael & reiner schmidt-ruthenbeck,758
5182,lynn schusterman,759
3414,mark shoen,760
7816,michal solowow,761
2885,daniel tsai,762
8690,richard tsai,763
5519,frank wang,764
1049,meg whitman,765
9747,john catsimatidis,766
4140,do won & jin sook chang,767
9178,cheng cheung ling,768
3429,barry diller,769
7538,jack dorsey,770
5570,yakir gabay,771
5036,allan goldman,772
7060,jane goldman,773
5156,amy goldman fowler,774
1086,daryl katz,775
5192,diane kemper,776
4978,vladimir kim,777
2600,lai meisong,778
1438,manuel lao hernandez,779
2689,james leprino,780
8691,liang xinjun,781
9967,tom morris,782
6298,thi phuong thao nguyen,783
3056,rajan raheja,784
7450,ren jianhua,785
7320,richard sands,786
4258,kerry stokes,787
2002,donald trump,788
9959,romesh t. wadhwani,789
5038,wang jian,790
5521,clifford asness,791
8974,anne beaufour,792
6453,henri beaufour,793
9543,tom benson,794
1687,jim breyer,795
8998,alejandro bulgheroni,796
5195,hasmukh chudgar,797
3343,ennio doris,798
1649,luis frias,799
3241,valentin gapontsev,800
4061,martin haefner,801
4324,christopher hohn,802
2825,johnelle hunt,803
9044,rakesh jhunjhunwala,804
9076,lu xiangyang,805
9497,john middleton,806
4382,kazuo okada,807
5700,jorge perez,808
2346,prasert prasarttong-osoth,809
4180,jean (gigi) pritzker,810
9503,mochtar riady,811
8560,arkady rotenberg,812
7637,michael rubin,813
1733,robert sands,814
1645,herbert simon,815
6107,robert toennies,816
8698,manuel villar,817
1764,don vultaggio,818
7792,wang zhenhua,819
7402,wu kaiting,820
8846,simon xie,821
7152,chuck bundrant,822
3163,cai dongchen,823
9832,jose and francisco jose calderon rojas,824
4371,jason chang,825
6152,smita crishna-godrej,826
4620,ding shizhong,827
3693,feng hailiang,828
1182,gerald ford,829
3005,philippe foriel-destezet,830
6180,adi godrej,831
7544,jamshyd godrej,832
3961,nadir godrej,833
3213,joseph grendys,834
2298,hedda im brahm-droege,835
1529,ke zunhong,836
5707,randal kirk,837
4281,alicia koplowitz,838
3131,kwek leng beng,839
6241,louis le duff,840
7622,yusaku maezawa,841
4206,sergio mantegazza,842
6879,hans melchers,843
5116,erwin franz mueller,844
5610,rishad naoroji,845
6596,husnu ozyegin,846
7053,prajogo pangestu,847
9859,jeff rothschild,848
5891,thomas siebel,849
9260,paul singer,850
6224,ralph sonnenberg,851
9727,jon stryker,852
5165,georg stumpf,853
9985,tsai hong-tu,854
9213,vincent viola,855
4433,radovan vitek,856
9341,wang laichun,857
8089,wang laisheng,858
5813,carlos ardila lülle,859
5478,"william conway, jr.",860
3858,daniel d'aniello,861
7556,jim davis,862
3179,ding shijia,863
2741,"john dorrance, iii.",864
1748,doris fisher,865
4196,john fisher,866
8601,caroline hagen kjos,867
6892,kieu hoang,868
4939,huang shih tsai,869
9320,h. wayne huizenga,870
2273,osman kibar,871
5666,aloke lohia,872
9246,taha mikati,873
1993,philip niarchos,874
7412,stefan olsson,875
5273,sebastian piñera,876
8616,penny pritzker,877
2261,nicolas puech,878
8492,chandru raheja,879
2651,david rubenstein,880
1870,shi yuzhu,881
4530,zygmunt solorz-zak,882
6896,tung chee chen,883
7460,mark walter,884
8158,"william wrigley, jr.",885
1571,mortimer zuckerman,886
8401,mohed altrad,887
2631,anil ambani,888
5881,roberto angelini rossi,889
2332,saeed bin butti al qebaisi,890
4079,pierre chen,891
6626,ray davis,892
7518,"edward debartolo, jr.",893
1454,bennett dorrance,894
5115,eduardo eurnekian,895
1242,piero ferrari,896
3290,fiona geminder,897
9286,gu yuhua,898
1857,don hankey,899
6508,reed hastings,900
3505,huang wei,901
9833,james irsay,902
2390,kim beom-su,903
6428,mustafa kucuk,904
7225,mohamed mansour,905
8239,najib mikati,906
1738,ermirio pereira de moraes,907
2822,bob parsons,908
4935,krit ratanarak,909
9525,helena revoredo,910
6491,phillip ruffin,911
1821,howard schultz,912
5780,e. joe shoen,913
6407,thomas straumann,914
4508,lawrence stroll,915
4121,andrew tan,916
2024,tsai cheng-da,917
9395,frank vandersloot,918
7969,sandro veronesi,919
4531,ty warner,920
6353,oprah winfrey,921
3031,zhang wenzhong,922
1139,zuo hui,923
5543,juan abello,924
7817,semahat sevim arsel,925
8052,bang jun-hyuk,926
5934,koos bekker,927
2453,david bonderman,928
8026,francesco gaetano caltagirone,929
6870,john caudwell,930
4389,chen fashu,931
2655,chung eui-sun,932
5346,isabel dos santos,933
5223,fong yun wah,934
6690,phillip frost,935
9785,lutz mario helmig,936
5488,b. wayne hughes,937
6664,daniel kretinsky,938
4808,raj kumar & kishin rk,939
4347,lam kong,940
9897,lau cho kun,941
4839,"stephen mandel, jr.",942
1205,gilles martin,943
4963,daniel mate,944
5650,robert miller,945
1660,jorge moll filho,946
9394,maria helena moraes scripilliti,947
2702,sean parker,948
9496,jay paul,949
7498,patrick ryan,950
7481,thomas secunda,951
2142,shen wenrong,952
7441,shen yuxing,953
2479,gil shwed,954
2869,song zuowen,955
4616,warren stephens,956
8499,glen taylor,957
6864,hanni toosbuy kasprzak,958
7542,torbjorn tornqvist,959
2727,bulat utemuratov,960
9519,chip wilson,961
8697,jerry yang,962
8264,zhang fan,963
1526,zhu xingliang,964
5718,ramon ang,965
2576,edward bass,966
7736,lee bass,967
1682,bert beveridge,968
2823,george bishop,969
1089,jaime botin,970
6588,norman braman,971
8076,chin jong hwa,972
5855,cho tak wong,973
3630,john coates,974
6115,du jiangtao,975
1842,aloysio de andrade faria,976
9657,kenneth feld,977
4023,luca garavoglia,978
9025,noam gottesman,979
1353,jonathan gray,980
3808,stein erik hagen,981
4218,chang-woo han,982
9114,john henry,983
5011,lawrence ho,984
5795,hui lin chit,985
6900,mustafa rahmi koc,986
1447,kuan kam hon,987
3627,jane lauder,988
9089,aerin lauder zinterhofer,989
2492,maritsa lazari,990
1437,bernard lewis,991
3952,vincent lo,992
9899,jeffrey lorberbaum,993
3840,joe mansueto,994
9686,jose roberto marinho,995
9658,roberto irineu marinho,996
3247,c. dean metropoulos,997
2425,aristotelis mistakidis,998
4564,arturo moreno,999
8015,yoshiko mori,1000
9447,adam neumann,1001
6129,or wai sheun,1002
2410,richard peery,1003
6966,horst julius pudwill,1004
4436,p.v. ramprasad reddy,1005
8449,larry robbins,1006
4720,carlos sanchez,1007
4888,stephan schmidheiny,1008
2392,klaus-peter schulenberg,1009
2309,charles simonyi,1010
7590,mark stevens,1011
1185,sze man bok,1012
8126,sarik tara,1013
1325,lottie tham,1014
8390,peter thiel,1015
8508,elaine wynn,1016
9842,denise york,1017
5181,david zalik,1018
1455,zhao tao,1019
5652,george argyros,1020
6682,john arrillaga,1021
2899,charles bronfman,1022
3880,peter buck,1023
9010,chen jinxia,1024
3871,vivien chen,1025
8776,chu lam yiu,1026
8913,jean coutu,1027
3788,jose luis cutrale,1028
5860,jai hari & yadu hari dalmia,1029
1031,bergit douglas,1030
7234,alfredo egydio arruda villela filho,1031
2766,marcel erni,1032
2966,andre esteves,1033
1342,carlo fidani,1034
8185,abhay firodia,1035
3143,alfred gantner,1036
7527,geng jianming,1037
7056,mitchell goldhar,1038
1280,hortensia herrero,1039
3057,michael hintze,1040
6518,igor kesaev,1041
8637,koon poh keong,1042
1635,hermann langness,1043
9992,li zhongchu,1044
7895,alexander mamut,1045
4163,joao roberto marinho,1046
1076,"drayton mclane, jr.",1047
5035,patrice motsepe,1048
9613,alfred oetker,1049
2595,august oetker,1050
4438,carl ferdinand oetker,1051
9356,christian oetker,1052
4770,julia oetker,1053
5150,richard oetker,1054
9409,daniel pritzker,1055
8964,john pritzker,1056
1113,nevaldo rocha,1057
3526,luigi rovati,1058
4750,ferit faik sahenk,1059
9416,rosely schweizer,1060
8007,eric smidt,1061
3166,alexander spanos,1062
6416,leena tewari,1063
3379,tong jinquan,1064
2295,peter unger,1065
7874,sunny varkey,1066
1260,urs wietlisbach,1067
4264,michael ying,1068
4141,yu minhong,1069
5667,eva maria bucher-haefner,1070
8362,chen hua,1071
8171,gustavo denegri,1072
4578,dermot desmond,1073
9079,murali divi,1074
2715,thomas flohr,1075
7428,bernard fraisse,1076
7793,harsh goenka,1077
2195,david gottesman,1078
7192,murli dhar & bimal kumar gyanchandani,1079
2423,bill haslam,1080
5379,hu baifan,1081
7784,w. herbert hunt,1082
3152,alijan ibragimov,1083
3009,bradley jacobs,1084
3087,brad kelley,1085
8932,vinod khosla,1086
2364,stephen lansdown,1087
7132,martin lau,1088
7480,lee joong-keun,1089
6123,lin li,1090
1355,kenneth lo,1091
6884,alexander machkevich,1092
4573,clayton mathile,1093
8483,stanley perron,1094
6814,j. joe ricketts,1095
9220,dirk rossmann,1096
4805,filiz sahenk,1097
8969,dan snyder,1098
8348,peter spuhler,1099
8042,tang yiu,1100
5039,john tyson,1101
5097,wong man li,1102
